,player,MPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,PPG,Height,Weight
0,A.J. Price,12.461538461538462,1.9615384615384615,5.269230769230769,0.372,0.5769230769230769,2.1923076923076925,0.263,0.6153846153846154,0.9230769230769231,0.667,0.23076923076923078,1.0,1.2307692307692308,1.7692307692307692,0.2692307692307692,0.0,0.5384615384615384,0.5769230769230769,5.115384615384615,72.5,192.8
1,Aaron Gordon,27.333333333333332,4.888888888888889,9.266666666666667,0.528,1.488888888888889,3.2444444444444445,0.459,2.6444444444444444,3.311111111111111,0.799,1.5333333333333334,3.3333333333333335,4.866666666666666,3.088888888888889,0.4444444444444444,0.2222222222222222,1.3777777777777778,1.5777777777777777,13.911111111111111,79.5,220.1
2,Aaron Holiday,12.75,1.8214285714285714,4.214285714285714,0.432,1.0892857142857142,2.8214285714285716,0.386,0.5892857142857143,0.7142857142857143,0.825,0.21428571428571427,1.0357142857142858,1.25,1.25,0.32142857142857145,0.17857142857142858,0.5892857142857143,1.0357142857142858,5.321428571428571,71.75,187.0
3,Acie Law,14.235294117647058,1.588235294117647,3.6470588235294117,0.435,0.11764705882352941,0.7058823529411765,0.167,0.9215686274509803,1.2549019607843137,0.734,0.23529411764705882,1.0,1.2352941176470589,1.6470588235294117,0.6274509803921569,0.0,0.8431372549019608,1.196078431372549,4.215686274509804,74.0,186.0
4,Adam Morrison,7.774193548387097,1.032258064516129,2.7419354838709675,0.376,0.16129032258064516,0.6774193548387096,0.238,0.16129032258064516,0.25806451612903225,0.625,0.3225806451612903,0.7096774193548387,1.032258064516129,0.5806451612903226,0.0967741935483871,0.06451612903225806,0.3225806451612903,0.5483870967741935,2.3870967741935485,78.5,198.0
5,Admiral Schofield,3.652173913043478,0.43478260869565216,1.1304347826086956,0.385,0.2608695652173913,0.6956521739130435,0.375,0.0,0.08695652173913043,0.0,0.13043478260869565,0.6086956521739131,0.7391304347826086,0.30434782608695654,0.043478260869565216,0.0,0.21739130434782608,0.391304347826087,1.1304347826086956,76.0,240.6
6,Adreian Payne,8.6,1.4,2.0,0.7,0.4,0.6,0.667,1.0,1.2,0.833,0.4,1.4,1.8,0.0,0.4,0.0,0.4,1.2,4.2,81.0,238.5
7,Al Horford,27.68421052631579,3.210526315789474,7.614035087719298,0.422,1.8771929824561404,5.2105263157894735,0.36,0.5964912280701754,0.6666666666666666,0.895,1.3333333333333333,4.719298245614035,6.052631578947368,2.1403508771929824,0.6140350877192983,0.8596491228070176,0.7543859649122807,1.3859649122807018,8.894736842105264,80.0,246.0
8,Al Thornton,19.47887323943662,2.887323943661972,6.070422535211268,0.476,0.056338028169014086,0.36619718309859156,0.154,1.5492957746478873,2.0,0.775,0.7887323943661971,2.211267605633803,3.0,0.8732394366197183,0.49295774647887325,0.16901408450704225,0.9014084507042254,2.0140845070422535,7.380281690140845,77.75,221.0
9,Alan Williams,5.2,1.6,2.6,0.615,0.0,0.2,0.0,0.4,0.8,0.5,0.8,3.0,3.8,0.6,0.2,0.0,0.2,0.4,3.6,79.25,261.4
10,Alec Burks,17.232558139534884,2.13953488372093,5.116279069767442,0.418,1.6744186046511629,3.9302325581395348,0.426,0.7906976744186046,1.0465116279069768,0.756,0.32558139534883723,2.2093023255813953,2.5348837209302326,1.0930232558139534,0.5813953488372093,0.16279069767441862,0.4883720930232558,0.7209302325581395,6.744186046511628,77.0,192.6
11,Alec Peters,11.25,1.4,3.7,0.378,0.9,2.9,0.31,0.4,0.5,0.8,0.4,1.45,1.85,0.6,0.1,0.1,0.2,0.65,4.1,79.25,232.0
12,Alex Acker,7.96,1.2,3.04,0.395,0.28,0.8,0.35,0.2,0.4,0.5,0.32,0.64,0.96,0.48,0.2,0.16,0.28,0.36,2.88,75.75,183.0
14,Alize Johnson,7.5,0.75,1.5,0.5,0.0,0.5,0.0,0.25,0.5,0.5,0.5,2.0,2.5,0.25,0.25,0.0,1.0,0.75,1.75,79.25,216.6
15,Allan Ray,15.106382978723405,2.127659574468085,5.51063829787234,0.386,1.0212765957446808,2.4680851063829787,0.414,0.8936170212765957,1.1702127659574468,0.764,0.3829787234042553,1.0851063829787233,1.4680851063829787,0.9148936170212766,0.425531914893617,0.06382978723404255,0.8936170212765957,1.8085106382978724,6.170212765957447,73.0,204.0
16,Allen Crabbe,17.64864864864865,1.7027027027027026,4.783783783783784,0.356,0.972972972972973,3.2162162162162162,0.303,0.2702702702702703,0.3783783783783784,0.714,0.2972972972972973,1.7837837837837838,2.081081081081081,0.8918918918918919,0.40540540540540543,0.10810810810810811,0.4594594594594595,1.2702702702702702,4.648648648648648,77.25,197.4
