Season,#,Player,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,Height,Weight
2024,1,Markus Howard,BASK,39,23.0,19.5,6.5,15.1,.431,3.8,9.5,.400,2.6,3.2,.837,0.3,0.9,1.2,1.6,0.5,0.0,1.9,2.7,5-11,180
2024,2,Mike James,ASM,39,31.7,17.9,5.9,13.9,.426,2.2,6.0,.372,3.8,4.9,.772,0.5,3.6,4.1,5.1,1.2,0.1,2.1,1.8,6-1,190
2024,3,Wade Baldwin IV,MAC,30,27.6,17.4,5.7,12.4,.456,1.4,3.7,.391,4.6,5.5,.848,0.3,2.2,2.5,4.9,1.0,0.2,2.6,1.9,6-4,220
2024,4,Keenan Evans,ZAL,34,27.4,17.3,5.5,11.5,.481,2.4,5.6,.435,3.8,4.2,.895,0.5,2.3,2.8,3.9,1.2,0.1,2.3,2.4,6-3,190
2024,5,Nikola Mirotic,MIL,21,26.5,16.9,5.4,10.2,.526,2.2,5.2,.418,4.0,4.7,.847,1.8,3.9,5.7,0.9,0.8,0.3,1.7,2.2,6-10,250
2024,6,Shane Larkin,EFE,35,31.6,16.8,5.3,11.5,.460,2.5,6.4,.391,3.7,4.1,.908,0.2,2.7,2.8,5.1,1.1,0.1,1.9,1.4,5-11,175
2024,7,Kendrick Nunn,PAN,35,27.5,16.0,6.0,13.5,.446,2.0,4.9,.410,2.0,2.1,.959,0.4,2.3,2.7,3.1,0.9,0.1,3.1,2.2,6-3,190
2024,8,Shavon Shields,MIL,29,30.4,15.7,5.5,11.5,.476,2.6,6.6,.389,2.2,2.7,.821,0.7,3.1,3.7,2.8,1.3,0.1,2.1,1.7,6-7,225
2024,9,Kevin Punter,PAR,28,29.1,15.0,5.1,11.0,.463,1.5,4.2,.350,3.3,3.6,.902,0.3,2.3,2.6,2.6,1.1,0.2,2.3,2.4,6-2,190
2024,10,Tornike Shengelia,BOL,33,27.4,14.5,5.2,10.5,.491,0.8,3.0,.255,3.5,4.4,.788,1.4,3.7,5.0,3.3,1.0,0.2,2.7,2.5,6-9,220
2024,11,Nemanja Nedovic,ZVE,30,21.8,14.3,5.1,10.5,.484,1.9,4.7,.408,2.2,2.5,.868,0.2,1.7,1.9,2.6,0.5,0.1,1.7,1.9,6-3,192
2024,12,Marco Belinelli,BOL,35,22.8,14.1,4.5,11.0,.404,2.6,6.8,.382,2.6,3.0,.865,0.2,1.5,1.7,1.7,0.4,0.0,1.3,2.1,6-5,225
2024,13,Mathias Lessort,PAN,41,29.7,13.9,5.0,8.0,.624,0.0,0.0,.000,4.0,6.5,.607,2.3,4.0,6.3,1.4,1.0,0.9,1.8,2.7,6-9,250
2024,14,Nigel Hayes,FEN,37,31.5,13.8,4.8,10.1,.469,1.8,4.9,.372,2.4,2.9,.832,1.5,3.1,4.6,1.7,1.0,0.2,1.2,2.1,6-8,254
2024,15,Chima Moneke,BASK,34,24.7,13.6,4.5,8.5,.531,0.9,2.5,.353,3.6,4.7,.764,2.1,4.5,6.6,1.4,1.1,0.5,2.0,1.6,6-6,222
2024,16,Mario Hezonja,RMB,38,23.3,13.5,4.7,10.0,.475,2.2,5.1,.431,1.8,2.0,.921,0.5,4.1,4.6,0.9,1.0,0.1,1.1,1.7,6-8,220
2024,17,Dzanan Musa,RMB,38,21.0,13.5,4.5,8.6,.523,1.6,3.8,.413,3.0,3.6,.819,0.7,2.1,2.7,2.2,0.3,0.2,1.2,1.2,6-9,217
2024,19,Will Clyburn,EFE,25,28.3,13.3,4.7,10.9,.429,1.6,4.7,.331,2.4,3.0,.787,1.1,3.4,4.6,2.0,1.0,0.2,1.5,1.9,6-6,210
2024,20,Lorenzo Brown,MAC,38,29.3,13.2,5.1,12.2,.415,1.5,4.4,.345,1.6,1.9,.859,0.7,2.2,2.8,6.1,1.0,0.1,2.6,2.1,6-5,189
2024,21,Alec Peters,OLY,40,25.4,13.1,4.7,8.3,.565,1.9,3.6,.535,1.8,2.1,.878,1.2,3.6,4.9,1.6,0.5,0.1,1.3,2.3,6-9,225
2024,22,Scottie Wilbekin,FEN,41,24.7,13.0,4.2,10.2,.408,3.0,7.4,.401,1.7,2.0,.875,0.5,1.7,2.2,3.3,1.1,0.0,1.7,1.8,6-2,176
2024,23,Timothe Luwawu-Cabarrot,LYV,28,28.1,13.0,4.6,9.8,.467,1.3,3.3,.376,2.6,3.1,.830,0.5,2.9,3.4,2.3,1.1,0.1,2.3,3.1,6-7,210
2024,25,Kostas Sloukas,PAN,34,26.2,12.7,4.0,8.1,.500,1.7,4.2,.415,2.9,3.4,.853,0.6,2.6,3.2,5.6,0.8,0.0,2.3,1.8,6-2,210
2024,27,Serge Ibaka,BAY,28,24.7,12.6,5.3,8.9,.598,0.9,1.8,.480,1.1,1.7,.667,2.0,4.8,6.8,1.2,0.5,1.3,1.6,2.9,6-10,235
2024,28,"Bonzie Colson, Jr.",MAC,40,28.5,12.6,4.6,9.4,.489,1.4,3.6,.387,2.0,2.6,.794,1.5,3.9,5.3,0.6,1.3,0.4,0.6,2.2,6-5,225
2024,29,Joffrey Lauvergne,LYV,31,24.7,12.6,5.1,10.0,.515,0.6,1.7,.358,1.7,2.4,.726,1.7,3.5,5.2,1.8,0.4,0.2,1.9,2.0,6-11,260
2024,30,Jan Vesely,FCB,38,21.9,12.3,4.9,8.0,.610,0.1,0.2,.286,2.5,3.1,.798,1.9,2.4,4.3,1.3,1.0,0.5,1.1,2.5,6-11,240
2024,32,Nicolas Laprovittola,FCB,33,22.7,12.3,4.2,9.3,.450,2.3,5.9,.388,1.6,2.1,.779,0.6,1.5,2.0,4.8,0.5,0.0,2.3,2.2,6-4,180
2024,33,Nando De Colo,LYV,21,21.9,12.2,3.7,8.8,.418,1.8,4.8,.380,3.0,3.5,.877,0.1,1.7,1.8,4.1,1.1,0.0,2.1,1.1,6-5,195
2024,34,Brandon Davies,VAL,28,22.4,12.1,4.6,9.3,.494,0.5,1.8,.306,2.3,2.9,.802,1.2,2.6,3.8,2.0,0.8,0.6,2.0,2.7,6-10,240
2024,35,Facundo Campazzo,RMB,37,25.3,11.5,3.7,8.2,.452,1.3,4.0,.322,2.8,3.2,.866,0.6,2.3,2.9,6.5,1.3,0.0,2.4,2.4,5-11,165
2024,36,Carsen Edwards,BAY,34,22.8,11.5,4.1,10.5,.388,1.8,5.5,.326,1.6,1.7,.914,0.4,1.3,1.7,1.8,0.9,0.1,1.7,1.7,5-11,200
2024,37,Paris Lee,LYV,33,28.0,11.5,3.6,9.0,.397,1.7,4.8,.352,2.6,2.8,.925,0.2,1.6,1.9,5.5,1.7,0.0,2.1,1.8,6-0,185
2024,38,Kostas Mitoglou,PAN,38,28.2,11.3,4.2,8.7,.483,1.0,2.9,.345,1.8,2.5,.745,1.7,4.4,6.1,0.9,0.8,0.4,1.0,1.8,6-10,245
2024,39,Sterling Brown,BER,29,24.1,11.2,4.0,9.9,.402,1.9,5.4,.357,1.4,1.5,.930,0.7,2.6,3.3,2.4,0.8,0.2,1.9,2.1,6-5,219
2024,41,Josh Nebo,MAC,39,23.7,11.2,4.4,6.5,.667,0.0,0.0,.000,2.4,3.4,.714,3.1,4.0,7.1,0.6,0.6,0.9,0.9,1.8,6-9,244
